日期,时间,小区编号,upload,download
2018/3/1,0,186,0.012694969,0.209157925
2018/3/1,1,186,0.000560913,0.000851421
2018/3/1,2,186,0.000632057,0.001749058
2018/3/1,3,186,0.000624666,0.001511841
2018/3/1,4,186,0.000762053,0.001753902
2018/3/1,5,186,0.002087736,0.015338039
2018/3/1,6,186,0.001558752,0.014624662
2018/3/1,7,186,0.004559917,0.036997623
2018/3/1,8,186,0.003036432,0.017414141
2018/3/1,9,186,0.001244669,0.002770052
2018/3/1,10,186,0.002838535,0.009227571
2018/3/1,11,186,0.00456852,0.004162836
2018/3/1,12,186,0.002211008,0.029102726
2018/3/1,13,186,0.001706114,0.008143988
2018/3/1,14,186,0.005056143,0.253959055
2018/3/1,15,186,0.001671305,0.055710983
2018/3/1,16,186,0.001810799,0.016826258
2018/3/1,17,186,0.002292051,0.012706747
2018/3/1,18,186,0.019788332,0.052009068
2018/3/1,19,186,0.01324645,0.123214741
2018/3/1,20,186,0.098443766,0.152568045
2018/3/1,21,186,0.039348993,0.384890432
2018/3/1,22,186,0.107482548,1.403621073
2018/3/1,23,186,0.011239653,0.689278421
2018/3/2,0,186,0.004240265,0.207987566
2018/3/2,1,186,0.001722383,0.024361725
2018/3/2,2,186,0.000471249,0.000786495
2018/3/2,3,186,0.000405302,0.001020784
2018/3/2,4,186,0.000616322,0.001326714
2018/3/2,5,186,0.000656338,0.013814688
2018/3/2,6,186,0.003290682,0.019818439
2018/3/2,7,186,0.01390214,0.040584393
2018/3/2,8,186,0.003472052,0.01656333
2018/3/2,9,186,0.001799946,0.008764544
2018/3/2,10,186,0.003475475,0.050017538
2018/3/2,11,186,0.002294407,0.051477518
2018/3/2,12,186,0.00258296,0.016741238
2018/3/2,13,186,0.002222528,0.006269674
2018/3/2,14,186,0.003522882,0.012309933
2018/3/2,15,186,0.021100855,0.011118689
2018/3/2,16,186,0.011130571,0.031366997
2018/3/2,17,186,0.007274418,0.042608776
2018/3/2,18,186,0.014853344,0.065224361
2018/3/2,19,186,0.008861647,0.051650553
2018/3/2,20,186,0.02787384,0.201690292
2018/3/2,21,186,0.041106281,0.138982821
2018/3/2,22,186,0.027919588,0.257907524
2018/3/2,23,186,0.018537016,0.872802687
2018/3/3,0,186,0.009874611,0.245761175
2018/3/3,1,186,0.003108301,0.02359931
2018/3/3,2,186,0.008454819,0.033422899
2018/3/3,3,186,0.000650835,0.000928822
2018/3/3,4,186,0.000862608,0.002484255
2018/3/3,5,186,0.003486366,0.007012806
2018/3/3,6,186,0.000752831,0.001523743
2018/3/3,7,186,0.002340918,0.033029985
2018/3/3,8,186,0.005717049,0.050349703
2018/3/3,9,186,0.006363373,0.034640369
2018/3/3,10,186,0.007183027,0.067495155
2018/3/3,11,186,0.005419416,0.032844057
2018/3/3,12,186,0.004329939,0.021725283
2018/3/3,13,186,0.003070469,0.018658915
2018/3/3,14,186,0.004042854,0.013035002
2018/3/3,15,186,0.00870719,0.048605671
2018/3/3,16,186,0.00473958,0.031377039
2018/3/3,17,186,0.010463753,0.108319244
2018/3/3,18,186,0.009780493,0.066819019
2018/3/3,19,186,0.020678654,0.113544874
2018/3/3,20,186,0.066435375,0.128865957
2018/3/3,21,186,0.030565605,0.205117245
2018/3/3,22,186,0.047248678,0.233317823
2018/3/3,23,186,0.019699755,0.326798382
2018/3/4,0,186,0.005067415,0.686821747
2018/3/4,1,186,0.003167105,0.412575645
2018/3/4,2,186,0.001408749,0.004242792
2018/3/4,3,186,0.001415939,0.012857676
2018/3/4,4,186,0.001480179,0.010726376
2018/3/4,5,186,0.002071362,0.004389696
2018/3/4,6,186,0.019616985,0.037659407
2018/3/4,7,186,0.010122137,0.084138069
2018/3/4,8,186,0.01835165,0.164882364
2018/3/4,9,186,0.009658098,0.109623022
2018/3/4,10,186,0.007619534,0.066639004
2018/3/4,11,186,0.004963074,0.029891768
2018/3/4,12,186,0.005447035,0.018303728
2018/3/4,13,186,0.008064737,0.051371126
2018/3/4,14,186,0.005299597,0.046834345
2018/3/4,15,186,0.004272337,0.027312107
2018/3/4,16,186,0.00460701,0.035104866
2018/3/4,17,186,0.008014059,0.043126383
2018/3/4,18,186,0.046689301,0.118131351
2018/3/4,19,186,0.050979624,0.157414713
2018/3/4,20,186,0.019965782,0.16388669
2018/3/4,21,186,0.02744278,0.14190465
2018/3/4,22,186,0.013074732,0.231783237
2018/3/4,23,186,0.01799448,0.443558083
2018/3/5,0,186,0.013241053,0.510113974
2018/3/5,1,186,0.003351297,0.006764822
2018/3/5,2,186,0.000813742,0.001557713
2018/3/5,3,186,0.002024279,0.117701664
2018/3/5,4,186,0.000886517,0.003924341
2018/3/5,5,186,0.000509892,0.000869923
2018/3/5,6,186,0.002893944,0.018208284
2018/3/5,7,186,0.003675146,0.02443408
2018/3/5,8,186,0.003107948,0.031727753
2018/3/5,9,186,0.001363554,0.007574158
2018/3/5,10,186,0.001774549,0.005292034
2018/3/5,11,186,0.0109408,1.001722507
2018/3/5,12,186,0.008277168,0.093275547
2018/3/5,13,186,0.005830088,0.035305805
2018/3/5,14,186,0.002182646,0.067828236
2018/3/5,15,186,0.002447205,0.015907164
2018/3/5,16,186,0.001302986,0.006899395
2018/3/5,17,186,0.006654844,0.012822542
2018/3/5,18,186,0.006906824,0.02000782
2018/3/5,19,186,0.007345057,0.052140598
2018/3/5,20,186,0.011857424,0.115120173
2018/3/5,21,186,0.036837187,0.322859221
2018/3/5,22,186,0.01805562,0.376343565
2018/3/5,23,186,0.011742105,0.333223305
2018/3/6,0,186,0.007995367,0.23204257
2018/3/6,1,186,0.000746851,0.001281538
2018/3/6,2,186,0.001936712,0.004261398
2018/3/6,3,186,0.000649815,0.001052847
2018/3/6,4,186,0.000959082,0.001829081
2018/3/6,5,186,0.000686655,0.001294069
2018/3/6,6,186,0.004228916,0.028654947
2018/3/6,7,186,0.005678492,0.048190145
2018/3/6,8,186,0.003465233,0.03745616
2018/3/6,9,186,0.006915684,0.142265415
2018/3/6,10,186,0.001497507,0.004969559
2018/3/6,11,186,0.001512251,0.00852706
2018/3/6,12,186,0.002279215,0.012377176
2018/3/6,13,186,0.05166894,0.05625927
2018/3/6,14,186,0.002352571,0.016932268
2018/3/6,15,186,0.017346582,0.171709442
2018/3/6,16,186,0.008243694,0.179382076
2018/3/6,17,186,0.030079317,0.17303442
2018/3/6,18,186,0.006145611,0.097964678
2018/3/6,19,186,0.016986179,0.510781288
2018/3/6,20,186,0.015266571,0.137428894
2018/3/6,21,186,0.018862638,0.270786371
2018/3/6,22,186,0.028473845,0.306308861
2018/3/6,23,186,0.015986652,0.242877579
2018/3/7,0,186,0.007573032,0.155135345
2018/3/7,1,186,0.001515512,0.035492296
2018/3/7,2,186,0.000240345,0.000538635
2018/3/7,3,186,0.000656519,0.000967941
2018/3/7,4,186,0.000587044,0.000892143
2018/3/7,5,186,0.000983801,0.002411995
2018/3/7,6,186,0.002190304,0.008963394
2018/3/7,7,186,0.003473663,0.018691225
2018/3/7,8,186,0.005821676,0.080109053
2018/3/7,9,186,0.003822975,0.046599007
2018/3/7,10,186,0.006699076,0.017319365
2018/3/7,11,186,0.001060066,0.004621181
2018/3/7,12,186,0.0038025,0.018536987
2018/3/7,13,186,0.006244917,0.02101162
2018/3/7,14,186,0.003767195,0.028700895
2018/3/7,15,186,0.013420315,1.012620506
2018/3/7,16,186,0.002919121,0.046667976
2018/3/7,17,186,0.003186092,0.018946362
2018/3/7,18,186,0.006797295,0.045503712
2018/3/7,19,186,0.009322863,0.053864155
2018/3/7,20,186,0.026072226,0.024775457
2018/3/7,21,186,0.023360395,0.101978798
2018/3/7,22,186,0.021182537,0.210913048
2018/3/7,23,186,0.010056229,0.736295834
2018/3/8,0,186,0.016051788,0.324682484
2018/3/8,1,186,0.004604492,0.220737896
2018/3/8,2,186,0.003758888,0.048407574
2018/3/8,3,186,0.00056283,0.000775824
2018/3/8,4,186,0.000404215,0.000792274
2018/3/8,5,186,0.000596952,0.000789452
2018/3/8,6,186,0.002483397,0.025758457
2018/3/8,7,186,0.072616549,0.099346209
2018/3/8,8,186,0.011202698,0.043300591
2018/3/8,9,186,0.002795534,0.019051695
2018/3/8,10,186,0.001711645,0.017583075
2018/3/8,11,186,0.002086811,0.012047739
2018/3/8,12,186,0.004139242,0.011718464
2018/3/8,13,186,0.006406574,0.052321148
2018/3/8,14,186,0.002297754,0.01631547
2018/3/8,15,186,0.001598568,0.139961853
2018/3/8,16,186,0.002002096,0.009845753
2018/3/8,17,186,0.003187799,0.012794218
2018/3/8,18,186,0.007799177,0.035480824
2018/3/8,19,186,0.009282274,0.297474241
2018/3/8,20,186,0.038469849,0.332573109
2018/3/8,21,186,0.011845264,0.230058565
2018/3/8,22,186,0.039876556,0.432852564
2018/3/8,23,186,0.032430201,0.343083439
2018/3/9,0,186,0.009652557,0.266619339
2018/3/9,1,186,0.003311634,0.016182299
2018/3/9,2,186,0.00077117,0.002570286
2018/3/9,3,186,0.000696468,0.001419888
2018/3/9,4,186,0.000655231,0.001246414
2018/3/9,5,186,0.000739889,0.001424065
2018/3/9,6,186,0.004346886,0.023535204
2018/3/9,7,186,0.002898855,0.018378115
2018/3/9,8,186,0.004326944,0.019746351
2018/3/9,9,186,0.003247814,0.032037354
2018/3/9,10,186,0.000662699,0.001482372
2018/3/9,11,186,0.004424124,0.026179018
2018/3/9,12,186,0.001861324,0.008480625
2018/3/9,13,186,0.000696154,0.002616911
2018/3/9,14,186,0.003432121,0.13434866
2018/3/9,15,186,0.007376547,0.314233694
2018/3/9,16,186,0.00134903,0.013744726
2018/3/9,17,186,0.001875305,0.004458103
2018/3/9,18,186,0.003785343,0.017783518
2018/3/9,19,186,0.011339722,0.094077663
2018/3/9,20,186,0.012374306,0.14136157
2018/3/9,21,186,0.011948767,0.143485155
2018/3/9,22,186,0.012762423,0.410993595
2018/3/9,23,186,0.013016691,0.249477034
2018/3/10,0,186,0.012404757,0.158119469
2018/3/10,1,186,0.008481846,0.286312895
2018/3/10,2,186,0.002398787,0.219559898
2018/3/10,3,186,0.000735826,0.001221504
2018/3/10,4,186,0.000684547,0.001278858
2018/3/10,5,186,0.001121244,0.003467932
2018/3/10,6,186,0.002472563,0.007155161
2018/3/10,7,186,0.006154051,0.037583218
2018/3/10,8,186,0.00521944,0.031982126
2018/3/10,9,186,0.010047159,0.080572863
2018/3/10,10,186,0.004920206,0.026567736
2018/3/10,11,186,0.009049721,0.073998146
2018/3/10,12,186,0.006119127,0.035536919
2018/3/10,13,186,0.008815765,0.140527163
2018/3/10,14,186,0.003052578,0.028619843
2018/3/10,15,186,0.003864126,0.109851608
2018/3/10,16,186,0.005204239,0.085337629
2018/3/10,17,186,0.009239788,0.135226927
2018/3/10,18,186,0.004570408,0.012349844
